hour,Ambient temperature(℃),PV Temperature(℃),Daily irradiation(MJ/㎡),Irradiance(W/㎡),Inverter efficiency(%),Active power(kW),Daily energy(kWh),Total input power(kW),Cumulative energy(kWh),month,day,dayofweek,hourofweek,hourofmonth,Tcell,Pm,Hieu suat
4,27.013157894736842,27.031578947368423,1.3157894736842106e-05,0.6789473684210526,1.982763157894737,0.0006973684210526315,0.0,0.0009078947368421054,53324.215263157894,6.2105263157894735,14.723684210526315,2.973684210526316,75.36842105263158,333.36842105263156,27.01740131578947,8.39681016551829,0.20707151305191923
5,26.221720116618073,26.71304664723032,0.023846938775510206,26.454810495626823,79.91810495626822,2.1824220116618074,0.5037390670553936,2.2969103498542274,48277.99268221574,5.863702623906706,16.131195335276967,3.065597667638484,78.57434402332362,368.14868804664724,26.387062682215745,3499.1090732720027,54.614275340228126
6,25.78609406952965,28.477351738241307,0.2501743353783231,128.58466257668712,96.32371676891616,12.719876789366054,6.474759713701431,12.965211145194274,43369.51362985685,5.5649284253578735,15.868609406952965,3.0153374233128836,78.3680981595092,362.84662576687117,26.589748210633946,17696.625674552906,72.65144944227123
7,27.54588900308325,34.533299075025695,1.0232158273381295,302.9034943473792,97.39138232271326,31.726993833504626,28.519393627954777,32.24010894141829,43290.34567831449,5.564234326824255,15.747687564234328,2.9809866392600206,78.5436793422405,360.9445015416238,29.439035842754365,41404.47901363887,77.83091880983699
8,29.372540983606555,40.270184426229505,2.3938960040983606,461.4547131147541,97.58125,48.5286818647541,68.38316086065574,49.33079610655737,43621.605742827865,5.579405737704918,15.836065573770492,2.954405737704918,78.90573770491804,364.0655737704918,32.25663294057377,62402.5929263639,79.3502804358353
9,30.73506962351728,44.199484270242394,4.330632800412584,602.2867973182053,98.09082516761217,62.86322588963383,123.63783909231562,63.95143940175348,44121.78332645694,5.607529654461063,15.796802475502837,2.9432697266632286,79.63847343991749,364.1232594120681,34.49936210675606,80867.1505975685,80.9553725711177
10,30.479561671763506,45.23802242609582,6.644557594291539,706.2671253822631,98.03159021406728,71.68767329255861,188.83441386340468,72.97597298674822,43604.69970948012,5.574413863404689,15.666156982670744,2.920998980632008,80.10397553516819,361.98776758409787,34.89373120540265,94549.9268799585,78.28980500463074
11,30.741873706004142,45.6601966873706,9.362987577639752,760.0847826086957,98.13524844720496,76.4329301242236,264.8181677018634,77.82932091097308,44015.65268115942,5.596273291925466,15.733954451345756,2.9213250517598346,81.11180124223603,364.6149068322981,35.49240359730849,101660.98975644785,77.74235970933525
12,30.57821112844514,44.65439417576703,12.10775559022361,741.7314092563703,98.04680187207488,74.89376807072283,340.8028965158606,76.26335829433177,44282.38671346854,5.607904316172647,15.753510140405616,2.919396775871035,82.06552262090483,366.0842433697348,35.21403243629746,99386.47221764427,77.79885326410574
13,30.3141592920354,42.85996876626757,14.68616241540864,672.9037480478918,97.92115044247788,71.59826496616346,413.74901613742844,72.89225715773036,44345.03168141593,5.6069755335762625,15.774596564289432,2.9364914107235816,83.47579385736596,367.59031754294637,34.51980771733472,90418.81788443969,81.09921724215776
14,29.57052142488384,39.440836344863186,16.796980382034075,514.7528652555499,97.1091584925142,57.542229220443986,476.0783686112545,58.54018275684048,44139.01350025814,5.587506453278265,15.767165720185854,2.9050077439339184,83.72018585441404,368.41197728446053,32.787726832731025,69250.41665888479,83.49577652399277
15,28.76313052522101,35.19563182527301,18.35246125845034,312.9117004680187,97.01872074882995,36.711293291731664,524.1426885075404,37.317521580863236,43967.95861154446,5.574102964118564,15.762870514820593,2.8933957358294333,84.4414976599064,369.30889235569424,30.718828653146126,42544.30529395632,85.2323346825031
16,28.169516728624533,31.521189591078066,19.176371747211896,148.1201805629315,96.66598513011152,17.900164630908126,552.9241582580987,18.215829527349975,44135.861173659054,5.582580987785449,15.814126394052044,2.924057355284121,86.1773765268189,371.53903345724905,29.095267857142858,20327.74816217541,85.12536076766305
17,27.660718358038768,28.79036488027366,19.784638540478905,38.91647662485747,91.15855188141391,4.079075256556442,570.6645781071836,4.2266516533637395,46253.77778221209,5.702964652223489,15.850627137970353,2.8911060433295326,86.38654503990878,373.4150513112885,27.903946336944127,5252.96954121592,73.08280589659267
18,29.836103151862464,30.017478510028653,21.963991404011463,3.7853868194842404,35.51779369627507,0.18521203438395414,634.3175358166189,0.21559312320916907,61973.03501432664,6.616045845272207,15.553008595988539,2.9226361031518624,88.1432664756447,367.27220630372494,29.85976181948424,359.7825318592085,21.531838252284373
