Ambient temperature(℃),PV Temperature(℃),Wind speed(m/s),Daily irradiation(MJ/㎡),Irradiance(W/㎡),Grid voltage/Grid AB line voltage(V),BC line voltage(V),CA line voltage(V),Phase A voltage(V),Phase B voltage(V),Phase C voltage(V),Grid current/Grid phase A current(A),Phase B current(A),Phase C current(A),Inverter efficiency(%),Device internal temperature(℃),Power factor,Grid frequency(Hz),Active power(kW),Output reactive power(kvar),Daily energy(kWh),Total input power(kW),PV1 input voltage(V),PV2 input voltage(V),PV3 input voltage(V),PV4 input voltage(V),PV5 input voltage(V),PV6 input voltage(V),PV7 input voltage(V),PV8 input voltage(V),PV9 input voltage(V),PV10 input voltage(V),PV11 input voltage(V),PV12 input voltage(V),PV13 input voltage(V),PV14 input voltage(V),PV15 Input Voltage(V),PV16 Input Voltage(V),PV17 Input Voltage(V),PV18 Input Voltage(V),PV19 Input Voltage(V),PV20 Input Voltage(V),PV1 input current(A),PV2 input current(A),PV3 input current(A),PV4 input current(A),PV5 input current(A),PV6 input current(A),PV7 input current(A),PV8 input current(A),PV9 input current(A),PV10 input current(A),PV11 input current(A),PV12 input current(A),PV13 input current(A),PV14 input current(A),PV15 Input Current(A),PV16 Input Current(A),PV17 Input Current(A),PV18 Input Current(A),PV19 Input Current(A),PV20 Input Current(A),Cumulative energy(kWh),Inverter startup time,Inverter shutdown time,MPPT 1 DC cumulative energy(kWh),MPPT 2 DC cumulative energy(kWh),MPPT 3 DC cumulative energy(kWh),MPPT 4 DC cumulative energy(kWh),MPPT 5 DC cumulative energy(kWh),MPPT 6 DC cumulative energy(kWh),MPPT 7 DC cumulative energy(kWh),MPPT 8 DC cumulative energy(kWh),MPPT 9 DC cumulative energy(kWh),MPPT 10 DC cumulative energy(kWh),Monthly energy(kWh),Annual energy(kWh),Voltage between PV– and the ground(V),Total DC input energy(kWh),Accumulated amount of absorbed electricity(kWh),time,month,day,hour,dayofweek,dayname,hourofweek,hourofmonth,Tcell,Pm,Hieu suat
32.2,47.5,4.3,13.212,948.3,389.2,386.0,386.6,227.7,223.1,223.1,148.857,148.195,148.675,98.11,72.3,1.0,50.17,99.875,0.564,394.1,101.768,703.1,703.1,702.7,702.7,703.1,703.1,702.4,702.4,703.1,703.1,702.2,702.2,702.5,702.5,702.6,702.6,703.2,703.2,702.4,702.4,14.56,0.0,0.0,14.09,14.27,0.0,0.0,14.62,14.19,0.0,0.0,14.67,14.63,0.0,14.54,0.0,0.0,14.72,14.16,0.0,4361.48,2022/03/22 05:36:22,2022/03/21 17:46:07,461.64,442.04,444.77,447.4,444.81,450.71,454.09,449.97,453.1,446.15,4358.56,4358.56,0.0,4494.68,0.0,2022-03-22 12:45:00,3,22,12,1,Tuesday,36,516,38.126875,126395.09134308023,80.51578500288929
28.3,46.2,1.4,4.957,948.5,392.1,390.5,390.3,229.5,225.1,225.0,147.909,147.522,147.444,98.08,62.4,0.999,50.05,100.089,0.138,153.82,102.038,666.3,666.3,659.7,659.7,655.0,655.0,668.3,668.3,667.3,667.3,672.8,672.8,667.4,667.4,660.4,660.4,679.3,679.3,666.0,666.0,15.49,0.0,0.0,15.17,15.28,0.0,0.0,15.32,15.23,0.0,0.0,15.25,15.49,0.0,15.44,0.0,0.0,15.09,14.99,0.0,5396.43,2022/03/24 05:35:33,2022/03/23 17:54:26,569.02,546.82,550.43,553.58,550.5,557.16,561.41,556.4,559.07,550.54,5393.51,5393.51,0.0,5554.93,0.0,2022-03-24 10:40:00,3,24,10,3,Thursday,82,562,34.228125,128739.60522400586,79.25921461577788
32.5,48.3,2.3,8.942,950.1,395.0,392.7,392.0,230.8,226.9,226.5,144.845,144.41,144.389,98.13,69.2,0.999,49.94,98.796,0.487,260.36,100.648,652.4,652.4,657.1,657.1,657.6,657.6,663.3,663.3,655.5,655.5,668.9,668.9,657.3,657.3,646.4,646.4,656.3,656.3,648.5,648.5,15.48,0.0,0.0,14.98,15.06,0.0,0.0,15.17,15.07,0.0,0.0,15.09,15.4,0.0,15.46,0.0,0.0,15.21,15.25,0.0,6061.76,2022/03/25 05:37:54,2022/03/24 17:56:47,637.93,613.92,617.95,621.9,618.22,625.51,630.23,624.65,627.34,617.85,6058.84,6058.84,0.0,6235.5,0.0,2022-03-25 11:00:00,3,25,11,4,Friday,107,587,38.438125,126472.27935924652,79.5810754023874
32.3,47.7,4.4,11.291,945.0,393.7,391.1,392.0,230.3,226.0,225.2,146.599,146.084,146.131,98.16,71.0,0.999,50.05,99.721,-0.808,328.44,101.601,664.4,664.4,656.9,656.9,655.6,655.6,669.3,669.3,649.4,649.4,662.9,662.9,651.3,651.3,657.6,657.6,661.4,661.4,658.5,658.5,15.56,0.0,0.0,15.16,15.32,0.0,0.0,15.26,15.56,0.0,0.0,15.52,15.79,0.0,15.33,0.0,0.0,15.51,15.12,0.0,6129.84,2022/03/25 05:37:54,2022/03/24 17:56:47,644.93,620.78,624.84,628.85,625.14,632.51,637.28,631.65,634.34,624.71,6126.93,6126.93,0.0,6305.03,0.0,2022-03-25 11:45:00,3,25,11,4,Friday,107,587,38.20625,125971.60002271268,80.65389340270454
32.0,47.6,5.1,11.577,951.3,394.8,392.2,392.0,230.3,227.0,226.2,146.182,145.943,145.816,98.16,71.6,0.999,50.14,99.591,-0.26,336.7,101.468,639.7,639.7,642.7,642.7,638.6,638.6,633.3,633.3,643.5,643.5,635.2,635.2,644.3,644.3,633.3,633.3,632.7,632.7,640.1,640.1,15.93,0.0,0.0,15.79,15.68,0.0,0.0,15.9,15.89,0.0,0.0,15.97,16.03,0.0,15.96,0.0,0.0,15.88,15.71,0.0,6138.1,2022/03/25 05:37:54,2022/03/24 17:56:47,645.78,621.62,625.69,629.7,625.98,633.37,638.13,632.49,635.19,625.54,6135.27,6135.27,0.0,6313.49,0.0,2022-03-25 11:50:00,3,25,11,4,Friday,107,587,37.945625,126969.53364807583,79.9152340601967
24.6,43.0,2.2,7.518,954.7,406.9,403.0,402.9,236.9,232.8,232.4,145.622,145.273,145.281,98.18,54.3,0.999,49.91,102.128,-1.494,229.09,104.064,639.3,639.3,652.4,652.4,671.8,671.8,664.8,664.8,642.0,642.0,665.9,665.9,646.8,646.8,648.5,648.5,666.0,666.0,644.0,644.0,15.0,0.0,0.0,14.62,14.52,0.0,0.0,15.01,16.04,0.0,0.0,15.69,16.75,0.0,16.75,0.0,0.0,16.51,17.24,0.0,9141.78,2022/04/03 05:34:46,2022/04/02 17:57:16,957.54,925.28,933.27,937.05,933.12,940.73,950.41,942.12,941.32,929.81,508.57,9138.97,0.0,9390.65,0.0,2022-04-03 13:15:00,4,3,13,6,Sunday,157,61,30.566875000000003,131942.9455867657,78.8704538444365
27.5,47.1,2.0,7.589,952.4,394.4,390.7,391.8,230.9,226.8,225.6,149.161,148.782,148.978,98.09,67.2,1.0,50.14,101.548,-0.597,236.58,103.515,698.0,698.0,688.2,688.2,690.8,690.8,701.3,701.3,683.6,683.6,691.1,691.1,682.1,682.1,680.5,680.5,683.5,683.5,683.7,683.7,14.9,0.0,0.0,14.88,14.85,0.0,0.0,15.02,14.96,0.0,0.0,15.01,15.2,0.0,15.1,0.0,0.0,15.28,14.95,0.0,10119.18,2022/04/06 05:39:52,2022/04/05 17:58:27,1058.83,1024.39,1033.57,1036.43,1033.01,1040.55,1052.15,1042.7,1040.92,1028.96,1485.77,10116.17,0.0,10391.51,0.0,2022-04-06 13:00:00,4,6,13,2,Wednesday,61,133,33.4525,129752.91606713607,79.77855383723308
28.2,46.9,3.0,7.878,947.3,393.4,389.7,390.7,229.8,225.6,224.6,151.496,151.008,151.364,98.13,68.0,1.0,49.93,102.636,0.18,245.12,104.602,690.5,690.5,676.1,676.1,676.0,676.0,685.4,685.4,675.7,675.7,685.0,685.0,678.4,678.4,675.9,675.9,678.5,678.5,680.0,680.0,15.19,0.0,0.0,15.05,15.0,0.0,0.0,15.28,15.24,0.0,0.0,15.29,15.47,0.0,15.26,0.0,0.0,15.55,15.1,0.0,10127.72,2022/04/06 05:39:52,2022/04/05 17:58:27,1059.72,1025.25,1034.43,1037.31,1033.87,1041.43,1053.03,1043.57,1041.8,1029.82,1494.4,10124.8,0.0,10400.23,0.0,2022-04-06 13:05:00,4,6,13,2,Wednesday,61,133,34.120625,128707.20335974579,81.27128650882885
28.7,48.6,2.9,8.458,947.1,391.6,388.9,389.8,229.7,224.6,224.6,155.659,155.163,155.262,98.07,69.4,1.0,49.94,105.101,0.803,262.26,107.115,661.2,661.2,582.2,582.2,650.8,650.8,648.4,648.4,654.1,654.1,648.4,648.4,650.1,650.1,644.8,644.8,648.2,648.2,656.8,656.8,16.7,0.0,0.0,17.5,16.35,0.0,0.0,16.8,15.94,0.0,0.0,16.23,16.23,0.0,16.41,0.0,0.0,16.87,16.96,0.0,10144.96,2022/04/06 05:39:52,2022/04/05 17:58:27,1061.52,1026.98,1036.15,1039.08,1035.61,1043.21,1054.79,1045.32,1043.59,1031.56,1511.64,10142.04,0.0,10417.81,0.0,2022-04-06 13:15:00,4,6,13,2,Wednesday,61,133,34.619375,128300.36771692145,83.48767965835899
29.1,48.9,3.4,9.026,953.4,390.1,387.7,388.5,228.7,224.6,223.6,151.329,150.806,151.193,98.1,70.4,1.0,49.96,101.887,0.441,279.05,103.871,693.2,693.2,678.4,678.4,679.1,679.1,689.1,689.1,679.9,679.9,688.5,688.5,681.1,681.1,678.1,678.1,681.5,681.5,681.7,681.7,15.11,0.0,0.0,15.07,15.04,0.0,0.0,15.2,15.17,0.0,0.0,15.21,15.41,0.0,15.3,0.0,0.0,15.48,15.16,0.0,10161.65,2022/04/06 05:39:52,2022/04/05 17:58:27,1063.25,1028.63,1037.82,1040.8,1037.29,1044.94,1056.51,1047.02,1045.33,1033.28,1528.33,10158.73,0.0,10434.87,0.0,2022-04-06 13:25:00,4,6,13,2,Wednesday,61,133,35.05875,128926.31867319731,80.56617226719428
