datetime,Unnamed: 0.1,Unnamed: 0,Site Name,Management Domain,ManageObject_x,Ambient temperature(℃),PV Temperature(℃),Wind speed(m/s),Wind direction(°),Daily irradiation(MJ/㎡),Irradiance(W/㎡),Device connection status,ManageObject_y,Inverter status,Grid voltage/Grid AB line voltage(V),BC line voltage(V),CA line voltage(V),Phase A voltage(V),Phase B voltage(V),Phase C voltage(V),Grid current/Grid phase A current(A),Phase B current(A),Phase C current(A),Inverter efficiency(%),Device internal temperature(℃),Power factor,Grid frequency(Hz),Active power(kW),Output reactive power(kvar),Daily energy(kWh),Total input power(kW),PV1 input voltage(V),PV2 input voltage(V),PV3 input voltage(V),PV4 input voltage(V),PV5 input voltage(V),PV6 input voltage(V),PV7 input voltage(V),PV8 input voltage(V),PV9 input voltage(V),PV10 input voltage(V),PV11 input voltage(V),PV12 input voltage(V),PV13 input voltage(V),PV14 input voltage(V),PV15 Input Voltage(V),PV16 Input Voltage(V),PV17 Input Voltage(V),PV18 Input Voltage(V),PV19 Input Voltage(V),PV20 Input Voltage(V),PV1 input current(A),PV2 input current(A),PV3 input current(A),PV4 input current(A),PV5 input current(A),PV6 input current(A),PV7 input current(A),PV8 input current(A),PV9 input current(A),PV10 input current(A),PV11 input current(A),PV12 input current(A),PV13 input current(A),PV14 input current(A),PV15 Input Current(A),PV16 Input Current(A),PV17 Input Current(A),PV18 Input Current(A),PV19 Input Current(A),PV20 Input Current(A),Cumulative energy(kWh),Inverter startup time,Inverter shutdown time,MPPT 1 DC cumulative energy(kWh),MPPT 2 DC cumulative energy(kWh),MPPT 3 DC cumulative energy(kWh),MPPT 4 DC cumulative energy(kWh),MPPT 5 DC cumulative energy(kWh),MPPT 6 DC cumulative energy(kWh),MPPT 7 DC cumulative energy(kWh),MPPT 8 DC cumulative energy(kWh),MPPT 9 DC cumulative energy(kWh),MPPT 10 DC cumulative energy(kWh),Monthly energy(kWh),Annual energy(kWh),Voltage between PV– and the ground(V),Total DC input energy(kWh),Accumulated amount of absorbed electricity(kWh),time,year,month,day,hour,dayofweek,dayname,hourofweek,hourofmonth,date,Tcell,Pm,Hieu suat
2022-03-22 12:45:00,2795,2795,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,32.2,47.5,4.3,,13.212,948.3,Online,1020C0058922/INVT_08,Grid connected,390.4,386.5,387.5,227.7,223.0,222.4,149.884,150.625,150.471,98.09,71.2,1.0,50.15,100.994,-0.206,396.44,102.939,685.1,685.1,697.4,697.4,686.8,686.8,687.5,687.5,695.6,695.6,691.2,691.2,687.6,687.6,697.0,697.0,688.9,688.9,700.0,700.0,14.68,0.0,0.0,14.59,14.78,0.0,0.0,14.62,14.61,0.0,0.0,14.56,14.93,0.0,14.81,0.0,0.0,14.86,14.64,0.0,4290.97,2022/03/22 05:34:58,2022/03/21 17:46:15,438.96,445.11,442.21,433.34,440.79,434.06,444.9,451.38,442.66,449.42,4286.67,4288.3,0.0,4422.83,0.0,2022-03-22 12:45:00,2022,3,22,12,1,Tuesday,36,516,2022-03-22,38.126875,134389.52507764322,76.59748774357766
2022-03-23 12:25:00,2946,2946,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,31.8,50.8,4.0,,12.385,998.9,Online,1020C0058922/INVT_08,Grid connected,392.4,389.6,391.1,228.4,224.5,224.2,151.222,151.829,151.779,98.09,71.4,0.997,50.12,102.631,1.467,366.67,104.619,684.9,684.9,698.7,698.7,686.5,686.5,685.5,685.5,693.1,693.1,685.5,685.5,680.5,680.5,689.0,689.0,676.4,676.4,688.5,688.5,15.29,0.0,0.0,15.17,15.43,0.0,0.0,15.22,15.22,0.0,0.0,15.14,15.56,0.0,15.33,0.0,0.0,15.35,15.14,0.0,4933.61,2022/03/23 05:33:36,2022/03/22 17:57:50,504.18,510.94,508.0,498.06,506.14,499.06,511.18,518.0,508.5,515.82,4929.19,4930.82,0.0,5079.88,0.0,2022-03-23 12:25:00,2022,3,23,12,2,Wednesday,60,540,2022-03-23,38.043125,141617.06748377084,73.87457024697198
2022-03-24 12:25:00,3101,3101,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,27.0,37.6,4.6,,9.499,1120.1,Online,1020C0058922/INVT_08,Grid connected,396.2,394.0,394.8,229.8,226.4,226.7,155.098,155.806,155.57,98.05,55.1,0.999,50.09,106.107,-2.058,281.9,108.218,694.9,694.9,694.1,694.1,696.9,696.9,705.8,705.8,719.1,719.1,703.4,703.4,714.1,714.1,695.3,695.3,702.5,702.5,707.6,707.6,12.49,0.0,0.0,13.68,14.93,0.0,0.0,15.81,16.36,0.0,0.0,17.0,17.0,0.0,16.92,0.0,0.0,15.55,15.15,0.0,5463.62,2022/03/24 05:34:23,2022/03/23 17:55:20,557.88,565.38,562.32,551.42,560.38,552.69,565.82,573.22,562.85,570.57,5459.18,5460.81,0.0,5622.53,0.0,2022-03-24 12:25:00,2022,3,24,12,3,Thursday,84,564,2022-03-24,34.000625,161868.8529183695,66.85535731483459
2022-03-25 12:10:00,3253,3253,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,32.0,48.2,4.0,,12.72,1007.5,Online,1020C0058922/INVT_08,Grid connected,397.6,393.3,394.0,230.4,226.2,226.5,151.464,152.293,151.949,98.15,71.5,0.999,50.01,103.403,-4.149,373.97,105.363,644.5,644.5,578.3,578.3,648.9,648.9,661.0,661.0,577.6,577.6,579.6,579.6,647.5,647.5,662.4,662.4,653.1,653.1,578.2,578.2,16.82,0.0,0.0,17.36,16.79,0.0,0.0,16.18,17.23,0.0,0.0,17.33,17.06,0.0,16.79,0.0,0.0,16.75,17.55,0.0,6123.09,2022/03/25 05:36:17,2022/03/24 17:58:23,624.64,632.87,629.86,617.87,627.55,619.4,633.83,641.72,630.77,638.56,6118.68,6120.31,0.0,6297.07,0.0,2022-03-25 12:10:00,2022,3,25,12,4,Friday,108,588,2022-03-25,38.296875,142663.04422802842,73.85444532614268
2022-03-26 12:00:00,3406,3406,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,32.4,51.1,2.3,,12.028,932.2,Online,1020C0058922/INVT_08,Grid connected,403.4,399.7,399.3,233.2,230.5,229.3,141.45,142.221,141.644,98.14,69.3,1.0,50.11,97.944,-2.368,349.05,99.79,639.7,639.7,648.2,648.2,647.2,647.2,641.8,641.8,648.2,648.2,641.6,641.6,641.8,641.8,653.8,653.8,641.5,641.5,642.8,642.8,15.43,0.0,0.0,15.41,15.31,0.0,0.0,15.29,15.34,0.0,0.0,15.4,15.52,0.0,15.43,0.0,0.0,15.41,15.7,0.0,6739.3,2022/03/26 05:30:29,2022/03/25 17:53:42,687.2,696.11,693.06,680.06,690.41,681.61,697.48,705.74,694.2,702.23,6734.88,6736.51,0.0,6928.1,0.0,2022-03-26 12:00:00,2022,3,26,12,5,Saturday,132,612,2022-03-26,38.22625,132045.10754876395,75.57265986787719
2022-03-28 13:15:00,3607,3607,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,27.8,40.8,4.3,,9.606,1021.3,Online,1020C0058922/INVT_08,Grid connected,394.1,390.7,392.0,229.1,225.0,224.7,160.403,161.042,161.041,97.7,50.6,0.996,50.05,109.007,-0.962,283.39,111.574,732.6,732.6,733.7,733.7,732.3,732.3,728.2,728.2,726.4,726.4,730.5,730.5,722.7,722.7,722.2,722.2,719.9,719.9,717.6,717.6,15.21,0.0,0.0,15.14,15.3,0.0,0.0,15.16,15.1,0.0,0.0,15.08,15.45,0.0,15.33,0.0,0.0,15.41,15.19,0.0,7316.28,2022/03/28 08:14:07,2022/03/27 06:51:26,745.9,755.12,752.21,738.21,748.99,740.14,757.08,765.43,753.65,761.54,7311.77,7313.4,0.0,7518.27,0.0,2022-03-28 13:15:00,2022,3,28,13,0,Monday,13,661,2022-03-28,34.183125000000004,147464.65685064593,75.66151943309613
2022-03-29 10:45:00,3733,3733,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,29.4,49.7,1.5,,5.16,1158.4,Online,1020C0058922/INVT_08,Grid connected,398.8,393.7,395.5,231.4,227.5,227.2,160.454,161.081,160.747,97.74,50.7,0.999,50.06,110.0,-0.164,158.29,112.543,726.7,726.7,726.3,726.3,724.9,724.9,726.2,726.2,725.2,725.2,725.7,725.7,725.1,725.1,726.4,726.4,725.7,725.7,725.8,725.8,14.7,0.0,0.0,15.4,15.05,0.0,0.0,14.89,15.49,0.0,0.0,15.11,15.3,0.0,15.81,0.0,0.0,15.64,15.83,0.0,7655.51,2022/03/29 05:33:15,2022/03/28 17:59:16,780.53,789.68,787.06,772.35,783.41,774.57,792.27,800.54,788.46,796.59,7651.1,7652.73,0.0,7865.46,0.0,2022-03-29 10:45:00,2022,3,29,10,1,Tuesday,34,682,2022-03-29,36.64,165331.47976274815,68.07112605627192
2022-03-30 12:25:00,3909,3909,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,30.7,44.9,2.5,,9.441,1127.8,Online,1020C0058922/INVT_08,Grid connected,400.8,396.8,398.4,233.2,228.8,228.2,160.406,160.885,160.866,97.76,62.1,1.0,50.02,110.0,-2.24,287.17,112.509,721.8,721.8,729.4,729.4,724.0,724.0,722.8,722.8,728.4,728.4,728.5,728.5,722.1,722.1,729.4,729.4,723.6,723.6,728.9,728.9,15.34,0.0,0.0,15.67,15.28,0.0,0.0,15.25,15.57,0.0,0.0,15.01,15.57,0.0,15.78,0.0,0.0,15.52,15.74,0.0,8276.79,2022/03/30 05:32:07,2022/03/29 18:03:49,843.59,853.07,850.59,834.65,846.4,837.37,856.41,864.73,851.9,860.72,8272.38,8274.01,0.0,8499.43,0.0,2022-03-30 12:25:00,2022,3,30,12,2,Wednesday,60,708,2022-03-30,37.74875,160116.62284355934,70.26690795866087
2022-04-03 13:05:00,4534,402,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,23.9,44.9,2.5,,6.869,1244.5,Online,1020C0058922/INVT_08,Grid connected,405.7,402.0,402.0,235.6,231.6,231.5,157.368,158.012,157.662,97.72,47.0,1.0,50.06,109.812,0.267,212.85,112.362,725.8,725.8,725.5,725.5,725.0,725.0,725.4,725.4,724.3,724.3,724.8,724.8,725.2,725.2,725.6,725.6,724.9,724.9,725.2,725.2,15.15,0.0,0.0,15.33,15.36,0.0,0.0,15.33,15.49,0.0,0.0,15.58,15.4,0.0,15.61,0.0,0.0,15.68,15.42,0.0,9108.92,2022/04/03 05:29:57,2022/04/02 17:57:51,929.54,938.06,936.87,918.46,931.99,921.63,943.5,951.97,937.12,947.87,496.81,9106.15,0.0,9357.01,0.0,2022-04-03 13:05:00,2022,4,3,13,6,Sunday,157,61,2022-04-03,31.678124999999998,181805.21412942873,61.80350796760345
2022-04-04 12:35:00,4686,554,VNM - Đà Nẵng - Nhà Máy,/BCG Energy,1020C0058922/EM001020C0058922,25.2,39.9,1.7,,3.705,872.3,Online,1020C0058922/INVT_08,Grid connected,397.6,395.6,397.2,231.4,227.9,228.0,119.392,119.865,119.803,98.32,41.8,1.0,49.77,82.16,-0.501,122.42,83.563,766.8,766.8,766.8,766.8,766.2,766.2,766.6,766.6,765.6,765.6,766.1,766.1,766.5,766.5,766.9,766.9,766.1,766.1,766.3,766.3,10.8,0.0,0.0,10.83,11.16,0.0,0.0,10.56,10.68,0.0,0.0,10.99,10.77,0.0,10.79,0.0,0.0,10.98,10.53,0.0,9380.54,2022/04/04 05:34:27,2022/04/03 17:54:34,957.41,965.8,964.96,945.78,959.72,949.11,971.73,980.16,965.09,976.01,768.38,9377.72,0.0,9636.69,0.0,2022-04-04 12:35:00,2022,4,4,12,0,Monday,12,84,2022-04-04,30.651874999999997,128038.37831291738,65.26402560002558
