,month,date,hour,Hieu suat,Total input power(kW)
0,3,2022-03-04,10,79.95180172941674,92.192
1,3,2022-03-04,11,77.38158142758296,95.224
2,3,2022-03-19,12,69.1307811275892,91.658
3,3,2022-03-19,13,65.84094992579911,83.941
4,3,2022-03-20,12,56.832275273159674,77.717
5,3,2022-03-21,10,67.29784019986013,76.596
6,3,2022-03-22,9,79.81825761668682,94.595
7,3,2022-03-22,10,75.11319970864929,98.494
8,3,2022-03-22,11,76.34242610413425,100.575
9,3,2022-03-22,12,79.94249844623276,102.939
10,3,2022-03-22,13,79.97005013576708,99.299
11,3,2022-03-23,10,77.78340887074708,95.287
12,3,2022-03-23,11,77.54633272576686,98.811
13,3,2022-03-23,12,79.04931422392947,109.569
14,3,2022-03-23,13,79.87330647887991,96.144
15,3,2022-03-24,10,79.54217076259806,109.635
16,3,2022-03-24,11,77.76690626424792,112.578
17,3,2022-03-24,12,76.7834642852637,108.218
18,3,2022-03-24,13,78.52316857014256,101.071
19,3,2022-03-25,9,79.62167892327435,85.512
20,3,2022-03-25,10,76.19521640350968,102.753
21,3,2022-03-25,11,76.9440104233801,103.507
22,3,2022-03-25,12,79.47685369793825,105.363
23,3,2022-03-25,13,79.9352347972563,96.425
24,3,2022-03-26,9,78.50171568085653,83.987
25,3,2022-03-26,10,75.68990143836916,93.615
26,3,2022-03-26,11,76.65006447756267,97.919
27,3,2022-03-26,12,78.49765778997643,99.79
28,3,2022-03-26,13,79.17962772707746,93.94
29,3,2022-03-28,10,78.88518699231437,102.836
30,3,2022-03-28,13,79.35850452803037,111.574
31,3,2022-03-28,14,71.66986893771768,77.893
32,3,2022-03-29,9,79.68698925737621,84.181
33,3,2022-03-29,10,75.10888730678975,112.543
34,3,2022-03-29,11,73.39659448650053,90.687
35,3,2022-03-29,12,78.8576081328197,100.255
36,3,2022-03-30,9,74.82378944825972,110.079
37,3,2022-03-30,10,59.434896467127295,84.751
38,3,2022-03-30,11,77.58494184773092,112.555
39,3,2022-03-30,12,77.17690082801923,112.509
40,3,2022-03-30,13,78.47482009892927,107.966
41,3,2022-03-30,14,78.05842741384915,83.291
42,4,2022-04-03,12,77.2429955024219,93.584
43,4,2022-04-03,13,74.48616945334152,112.362
44,4,2022-04-04,12,79.25740620078005,83.563
45,4,2022-04-06,11,79.75635093917558,112.153
46,4,2022-04-06,12,79.65161702553488,112.176
47,4,2022-04-06,13,77.75545305582482,109.897
48,4,2022-04-06,14,75.6043498595183,80.595
