Start Time,Ambient temperature(℃),PV Temperature(℃),Wind speed(m/s),Daily irradiation(MJ/㎡),Irradiance(W/㎡),Grid voltage/Grid AB line voltage(V),BC line voltage(V),CA line voltage(V),Phase A voltage(V),Phase B voltage(V),Phase C voltage(V),Grid current/Grid phase A current(A),Phase B current(A),Phase C current(A),Inverter efficiency(%),Device internal temperature(℃),Power factor,Grid frequency(Hz),Active power(kW),Output reactive power(kvar),Daily energy(kWh),Total input power(kW),PV1 input voltage(V),PV2 input voltage(V),PV3 input voltage(V),PV4 input voltage(V),PV5 input voltage(V),PV6 input voltage(V),PV7 input voltage(V),PV8 input voltage(V),PV9 input voltage(V),PV10 input voltage(V),PV11 input voltage(V),PV12 input voltage(V),PV13 input voltage(V),PV14 input voltage(V),PV15 Input Voltage(V),PV16 Input Voltage(V),PV17 Input Voltage(V),PV18 Input Voltage(V),PV19 Input Voltage(V),PV20 Input Voltage(V),PV1 input current(A),PV2 input current(A),PV3 input current(A),PV4 input current(A),PV5 input current(A),PV6 input current(A),PV7 input current(A),PV8 input current(A),PV9 input current(A),PV10 input current(A),PV11 input current(A),PV12 input current(A),PV13 input current(A),PV14 input current(A),PV15 Input Current(A),PV16 Input Current(A),PV17 Input Current(A),PV18 Input Current(A),PV19 Input Current(A),PV20 Input Current(A),Cumulative energy(kWh),Inverter startup time,Inverter shutdown time,MPPT 1 DC cumulative energy(kWh),MPPT 2 DC cumulative energy(kWh),MPPT 3 DC cumulative energy(kWh),MPPT 4 DC cumulative energy(kWh),MPPT 5 DC cumulative energy(kWh),MPPT 6 DC cumulative energy(kWh),MPPT 7 DC cumulative energy(kWh),MPPT 8 DC cumulative energy(kWh),MPPT 9 DC cumulative energy(kWh),MPPT 10 DC cumulative energy(kWh),Monthly energy(kWh),Annual energy(kWh),Voltage between PV– and the ground(V),Total DC input energy(kWh),Accumulated amount of absorbed electricity(kWh)
2022-06-01 00:00:00,26.100,26.100,1.800,0.000,0.000,N/A,N/A,N/A,0.0,0.0,0.0,0.000,0.000,0.000,0.00,42.9,0.000,0.00,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40525.70,N/A,N/A,4220.97,4085.23,4112.07,4156.64,4105.50,4161.10,4180.08,4143.97,4161.53,4097.04,N/A,N/A,-0.1,41424.13,0.00
2022-06-01 04:45:00,25.700,25.700,0.800,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.00,41.8,0.000,0.00,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40525.70,2022/05/31 04:57:43,2022/05/31 18:06:53,4220.97,4085.23,4112.07,4156.64,4105.50,4161.10,4180.08,4143.97,4161.53,4097.04,0.00,40522.69,0.0,41424.13,0.00
2022-06-01 04:50:00,25.700,25.700,1.700,0.000,0.700,405.2,406.8,405.3,235.7,235.4,234.3,0.000,0.000,0.000,0.00,41.2,0.000,50.11,0.000,0.000,0.00,0.000,468.7,468.7,468.7,468.7,468.7,468.7,468.7,468.7,468.7,468.7,468.7,468.7,468.7,468.7,468.7,468.7,468.7,468.7,468.7,468.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40525.70,2022/05/31 04:57:43,2022/05/31 18:06:53,4220.97,4085.23,4112.07,4156.64,4105.50,4161.10,4180.08,4143.97,4161.53,4097.04,0.00,40522.69,0.0,41424.13,0.00
2022-06-01 04:55:00,25.600,25.800,0.500,0.000,2.800,402.5,403.8,402.5,233.7,233.3,233.1,0.071,0.070,0.070,0.00,40.9,0.000,49.96,0.000,-0.047,0.00,0.000,517.0,517.0,517.6,517.6,553.6,553.6,511.6,511.6,511.7,511.7,529.2,529.2,494.3,494.3,546.9,546.9,493.9,493.9,600.4,600.4,0.04,-0.04,0.04,0.02,0.05,-0.03,0.04,0.00,0.05,-0.03,0.05,0.00,0.05,-0.04,0.05,-0.04,0.05,-0.01,0.04,-0.04,40525.70,2022/05/31 04:57:43,2022/05/31 18:06:53,4220.97,4085.23,4112.07,4156.64,4105.50,4161.10,4180.08,4143.97,4161.53,4097.04,0.00,40522.69,0.0,41424.13,0.00
2022-06-01 05:00:00,25.800,25.900,1.100,0.001,4.900,401.6,403.7,402.5,232.7,232.3,233.1,0.245,0.244,0.245,81.80,41.3,0.951,50.02,0.189,0.062,0.01,0.231,570.9,570.9,585.8,585.8,535.6,535.6,549.8,549.8,547.7,547.7,541.0,541.0,579.5,579.5,626.1,626.1,500.3,500.3,589.2,589.2,0.04,-0.04,0.04,0.02,0.05,-0.03,0.04,0.01,0.05,-0.03,0.05,0.03,0.05,-0.04,0.05,-0.04,0.05,0.02,0.04,-0.04,40525.71,2022/06/01 04:54:40,2022/05/31 18:06:53,4220.98,4085.23,4112.07,4156.64,4105.50,4161.10,4180.08,4143.98,4161.53,4097.04,0.01,40522.70,0.0,41424.15,0.00
2022-06-01 05:05:00,25.900,26.000,0.600,0.003,6.600,402.5,403.7,402.5,233.7,233.3,233.1,0.463,0.461,0.463,84.45,41.9,0.979,50.06,0.367,0.077,0.03,0.437,583.0,583.0,613.3,613.3,565.6,565.6,607.3,607.3,601.8,601.8,589.3,589.3,589.7,589.7,596.4,596.4,505.6,505.6,619.3,619.3,0.04,-0.04,0.04,0.02,0.05,-0.03,0.04,0.01,0.05,-0.03,0.05,0.03,0.05,-0.04,0.05,-0.04,0.05,0.02,0.04,-0.04,40525.73,2022/06/01 04:54:40,2022/05/31 18:06:53,4220.98,4085.24,4112.08,4156.65,4105.51,4161.10,4180.09,4143.98,4161.54,4097.05,0.03,40522.72,0.0,41424.22,0.00
2022-06-01 05:10:00,25.900,26.100,1.300,0.006,11.100,403.6,405.8,404.5,233.7,234.3,234.1,0.896,0.892,0.895,83.96,42.5,0.994,49.95,0.621,0.088,0.08,0.740,630.9,630.9,619.6,619.6,641.7,641.7,649.6,649.6,619.8,619.8,641.3,641.3,631.3,631.3,607.8,607.8,505.9,505.9,661.3,661.3,0.04,-0.04,0.04,0.02,0.05,-0.03,0.04,0.01,0.05,-0.03,0.05,0.03,0.05,-0.04,0.05,-0.04,0.05,0.02,0.04,-0.04,40525.78,2022/06/01 04:54:40,2022/05/31 18:06:53,4220.99,4085.24,4112.09,4156.66,4105.51,4161.11,4180.10,4143.99,4161.54,4097.06,0.08,40522.77,0.0,41424.29,0.00
2022-06-01 05:15:00,25.900,26.300,1.500,0.010,18.100,403.6,404.8,403.5,233.7,234.3,234.1,2.265,2.256,2.264,92.97,42.9,1.000,50.05,1.647,-0.082,0.18,1.769,643.0,643.0,640.7,640.7,661.6,661.6,635.4,635.4,637.8,637.8,643.3,643.3,652.5,652.5,640.3,640.3,653.1,653.1,673.4,673.4,0.24,-0.04,0.04,0.22,0.25,-0.03,0.04,0.21,0.25,-0.03,0.05,0.23,0.25,-0.04,0.25,-0.04,0.05,0.22,0.24,-0.04,40525.88,2022/06/01 04:54:40,2022/05/31 18:06:53,4221.01,4085.26,4112.10,4156.67,4105.53,4161.13,4180.11,4144.01,4161.56,4097.07,0.18,40522.87,0.0,41424.45,0.00
2022-06-01 05:20:00,26.000,26.400,1.200,0.017,26.500,406.6,407.8,406.5,235.7,235.4,236.2,3.536,3.522,3.537,94.31,43.1,0.999,49.98,2.471,0.038,0.36,2.620,679.0,679.0,673.9,673.9,667.6,667.6,679.5,679.5,679.7,679.7,679.2,679.2,668.0,668.0,666.8,666.8,656.6,656.6,697.3,697.3,0.44,-0.04,0.04,0.22,0.45,-0.03,0.04,0.21,0.25,-0.03,0.05,0.23,0.45,-0.04,0.45,-0.04,0.05,0.22,0.24,-0.04,40526.06,2022/06/01 04:54:40,2022/05/31 18:06:53,4221.03,4085.28,4112.12,4156.68,4105.55,4161.14,4180.13,4144.03,4161.57,4097.09,0.36,40523.05,0.0,41424.62,0.00
2022-06-01 05:25:00,26.200,26.600,1.300,0.025,31.900,406.6,407.8,406.5,235.7,235.4,236.2,4.154,4.142,4.156,95.15,43.5,0.999,50.06,2.948,-0.033,0.59,3.100,685.8,685.8,679.6,679.6,692.8,692.8,679.8,679.8,679.7,679.7,692.4,692.4,685.3,685.3,679.8,679.8,680.0,680.0,661.5,661.5,0.44,-0.04,0.04,0.42,0.45,-0.03,0.04,0.41,0.45,-0.03,0.05,0.43,0.45,-0.04,0.45,-0.04,0.05,0.42,0.44,-0.04,40526.29,2022/06/01 04:54:40,2022/05/31 18:06:53,4221.05,4085.30,4112.15,4156.71,4105.57,4161.17,4180.16,4144.06,4161.60,4097.12,0.59,40523.28,0.0,41424.89,0.00
2022-06-01 05:30:00,26.000,26.700,0.900,0.035,31.800,405.5,406.7,405.0,235.7,235.1,234.8,4.468,4.455,4.468,95.68,43.9,0.999,50.03,3.231,-0.034,0.84,3.379,666.9,666.9,668.4,668.4,697.1,697.1,672.4,672.4,679.7,679.7,672.5,672.5,679.0,679.0,662.2,662.2,680.2,680.2,654.3,654.3,0.44,-0.04,0.04,0.42,0.45,-0.03,0.04,0.41,0.45,-0.03,0.05,0.43,0.45,-0.04,0.45,-0.04,0.05,0.42,0.44,-0.04,40526.54,2022/06/01 04:54:40,2022/05/31 18:06:53,4221.08,4085.32,4112.18,4156.74,4105.60,4161.20,4180.19,4144.08,4161.62,4097.14,0.84,40523.53,0.0,41425.15,0.00
2022-06-01 05:35:00,25.900,26.800,1.600,0.046,43.100,404.1,405.5,404.1,235.1,234.7,235.3,6.235,6.219,6.247,96.45,44.3,0.999,49.96,4.343,0.125,1.15,4.491,678.9,678.9,686.7,686.7,679.6,679.6,690.1,690.1,691.6,691.6,679.2,679.2,684.8,684.8,686.3,686.3,697.3,697.3,678.2,678.2,0.64,-0.04,0.04,0.62,0.65,-0.03,0.04,0.61,0.65,-0.03,0.05,0.63,0.65,-0.04,0.65,-0.04,0.05,0.62,0.64,-0.04,40526.85,2022/06/01 04:54:40,2022/05/31 18:06:53,4221.12,4085.36,4112.21,4156.77,4105.64,4161.23,4180.23,4144.12,4161.66,4097.18,1.15,40523.84,0.0,41425.52,0.00
